transaction_id,customer_id,source_system,metric_name,metric_value,transaction_date,record_status
T000094,C5161,Billing,Orders,10.0,2025-06-04,valid
T000095,C9379,Billing,Revenue,13508.06,2025-11-23,valid
T000096,C4857,Billing,Tickets,,2025-10-12,missing
T000097,C7115,Billing,Orders,3.0,2025-09-15,duplicate
T000098,C9155,Billing,Tickets,1.0,2025-04-23,valid
T000099,C9231,CRM,Tickets,,2025-09-12,missing
T000100,C1323,Billing,Orders,2.0,2026-01-12,valid
T000101,C8698,App,Orders,8.0,2025-07-19,valid
T000102,C8269,CRM,Tickets,5.0,2025-06-06,valid
T000103,C5835,App,Revenue,1815.51,2025-04-05,valid
T000104,C3400,Billing,Revenue,3619.45,2025-09-10,valid
T000105,C1021,CRM,Orders,5.0,2025-02-10,valid
T000106,C3743,CRM,Revenue,6879.67,2025-07-02,valid
T000107,C1470,App,Tickets,4.0,2025-05-01,valid
T000108,C3936,App,Revenue,14828.32,2025-04-21,valid
T000109,C9619,CRM,Tickets,4.0,2025-06-22,valid
T000110,C8081,CRM,Revenue,13392.75,2025-07-03,valid
T000111,C6428,CRM,Tickets,4.0,2025-06-15,duplicate
T000112,C3233,CRM,Tickets,5.0,2026-01-10,valid
T000113,C2528,CRM,Orders,7.0,2025-07-22,valid
T000114,C1896,CRM,Revenue,14850.09,2025-02-25,valid
T000115,C6534,CRM,Orders,1.0,2026-02-06,valid
T000116,C9787,App,Tickets,1.0,2025-05-28,valid
T000117,C2368,App,Tickets,5.0,2026-01-20,valid
T000118,C2799,Billing,Orders,,2025-05-02,missing
T000119,C4713,App,Revenue,4061.54,2025-10-31,valid
T000120,C1406,CRM,Orders,3.0,2025-09-15,valid
T000121,C6398,CRM,Tickets,3.0,2025-09-01,valid
T000122,C2895,CRM,Orders,1.0,2025-08-05,valid
T000123,C3428,Billing,Tickets,2.0,2025-07-07,valid
T000124,C7364,Billing,Tickets,5.0,2025-02-06,duplicate
T000125,C6389,CRM,Revenue,19737.71,2025-11-18,duplicate
T000126,C7212,App,Tickets,3.0,2025-05-05,valid
T000127,C7814,CRM,Tickets,5.0,2025-12-09,valid
T000128,C5073,Billing,Tickets,1.0,2025-11-18,valid
T000129,C6177,CRM,Tickets,5.0,2026-01-29,valid
T000130,C2063,Billing,Orders,9.0,2025-04-10,valid
T000131,C6213,Billing,Tickets,4.0,2025-10-11,valid
T000132,C7141,CRM,Revenue,19562.6,2025-11-18,valid
T000133,C1023,CRM,Orders,1.0,2025-03-18,valid
T000134,C8089,CRM,Revenue,9739.08,2025-11-24,valid
T000135,C2153,Billing,Revenue,13985.52,2025-07-07,valid
T000136,C8763,Billing,Tickets,5.0,2025-08-25,valid
T000137,C6606,Billing,Orders,1.0,2025-04-21,valid
T000138,C3009,Billing,Orders,6.0,2025-09-27,valid
T000139,C9385,Billing,Revenue,6796.74,2025-03-13,valid
T000140,C6265,Billing,Tickets,3.0,2025-08-30,valid
T000141,C5186,CRM,Revenue,5563.8,2025-06-09,valid
T000142,C7900,App,Revenue,3123.46,2026-01-02,valid
T000143,C5108,CRM,Orders,,2025-03-05,missing
T000144,C5525,App,Revenue,2618.99,2025-07-20,valid
T000145,C6360,CRM,Orders,3.0,2025-11-03,valid
T000146,C2361,CRM,Revenue,11375.64,2025-05-15,valid
T000147,C5187,Billing,Orders,7.0,2025-10-17,valid
T000148,C9989,CRM,Orders,8.0,2025-12-05,valid
T000149,C1731,App,Revenue,5442.28,2025-12-03,duplicate
T000150,C5396,App,Orders,6.0,2025-10-23,valid
T000151,C3969,App,Tickets,5.0,2025-06-07,duplicate
T000152,C4410,App,Tickets,4.0,2025-12-01,valid
T000153,C6412,App,Orders,2.0,2025-05-21,valid
T000154,C2775,App,Orders,10.0,2025-12-26,valid
T000155,C8821,Billing,Revenue,16370.08,2025-12-06,valid
T000156,C8333,Billing,Revenue,9622.83,2025-11-08,valid
T000157,C6476,Billing,Revenue,1068.96,2025-06-26,valid
T000158,C8947,Billing,Orders,5.0,2025-08-09,valid
T000159,C2657,Billing,Orders,3.0,2025-10-04,valid
T000160,C5381,CRM,Tickets,3.0,2025-09-20,valid
T000161,C5528,Billing,Orders,9.0,2025-07-07,valid
T000162,C7646,Billing,Tickets,4.0,2025-11-04,valid
T000163,C6601,App,Revenue,7283.67,2025-08-31,valid
T000164,C3590,App,Revenue,18621.94,2025-07-22,valid
T000165,C9866,CRM,Revenue,9885.76,2025-06-10,valid
T000166,C8747,Billing,Orders,2.0,2025-02-07,valid
T000167,C5493,App,Orders,8.0,2025-08-26,valid
T000168,C1894,Billing,Revenue,2857.99,2025-05-23,valid
T000169,C6487,CRM,Revenue,5371.13,2025-06-17,valid
T000170,C1987,App,Revenue,,2025-02-12,missing
T000171,C5096,Billing,Revenue,4009.69,2025-02-26,valid
T000172,C6645,Billing,Orders,7.0,2025-11-15,valid
T000173,C8890,Billing,Orders,2.0,2025-12-28,valid
T000174,C1040,Billing,Orders,2.0,2025-06-17,valid
T000175,C3704,App,Orders,9.0,2025-11-06,valid
T000176,C1464,App,Tickets,1.0,2025-10-02,valid
T000177,C6763,CRM,Tickets,3.0,2025-09-23,valid
T000178,C1279,CRM,Revenue,13228.45,2025-07-01,duplicate
T000179,C1728,Billing,Orders,8.0,2025-08-05,valid
T000180,C7188,Billing,Tickets,,2025-07-11,missing
T000181,C2679,App,Revenue,,2025-11-07,missing
T000182,C6397,CRM,Revenue,2742.9,2025-02-27,valid
T000183,C1711,App,Tickets,4.0,2025-11-07,valid
T000184,C5903,App,Orders,6.0,2025-12-19,valid
T000185,C1640,CRM,Tickets,5.0,2026-01-13,valid
T000186,C4582,App,Revenue,3228.39,2025-06-10,valid
T000187,C9700,App,Tickets,2.0,2025-12-14,valid
T000188,C9965,CRM,Orders,5.0,2025-11-10,valid
T000189,C6030,App,Orders,5.0,2025-07-10,valid
T000190,C2375,Billing,Orders,4.0,2025-05-11,valid
T000191,C2488,Billing,Tickets,3.0,2026-01-21,valid
T000192,C5695,CRM,Tickets,,2025-03-24,missing
T000193,C3534,Billing,Revenue,14805.56,2025-06-01,valid
T000194,C1731,App,Revenue,5796.5,2025-12-20,valid
T000195,C8852,CRM,Tickets,3.0,2025-02-21,valid
T000196,C4995,CRM,Revenue,5278.52,2025-11-09,valid
T000197,C2736,CRM,Revenue,14667.84,2026-01-15,valid
T000198,C3069,App,Orders,10.0,2025-03-07,valid
T000199,C2980,Billing,Orders,1.0,2025-09-15,valid
T000200,C6982,App,Tickets,5.0,2025-11-11,valid
T000201,C5249,Billing,Orders,,2025-12-07,missing
T000202,C4374,CRM,Revenue,17480.45,2025-06-22,valid
T000203,C7102,Billing,Orders,4.0,2025-05-22,valid
T000204,C6860,Billing,Orders,6.0,2025-09-11,valid
T000205,C9453,App,Tickets,4.0,2026-01-16,valid
T000206,C9279,CRM,Tickets,1.0,2026-01-01,duplicate
T000207,C9565,App,Orders,1.0,2025-08-01,valid
T000208,C3665,CRM,Revenue,11452.27,2025-10-27,valid
T000209,C4208,App,Tickets,4.0,2025-08-07,valid
T000210,C4828,Billing,Orders,4.0,2025-12-12,valid
T000211,C9252,App,Revenue,13557.94,2025-04-12,valid
T000212,C9298,Billing,Tickets,2.0,2025-08-01,valid
T000213,C6018,App,Orders,7.0,2025-12-27,valid
T000214,C6886,Billing,Orders,,2025-12-11,missing
T000215,C6318,Billing,Orders,4.0,2025-09-03,valid
T000216,C1551,Billing,Tickets,5.0,2025-05-25,duplicate
T000217,C3802,CRM,Tickets,2.0,2025-11-21,valid
T000218,C1680,Billing,Revenue,6376.25,2025-12-14,valid
T000219,C8313,CRM,Orders,5.0,2025-07-11,valid
T000220,C3300,Billing,Orders,6.0,2026-01-04,valid
T000221,C3196,CRM,Revenue,11695.61,2025-05-22,valid
T000222,C3240,App,Tickets,2.0,2025-04-21,valid
T000223,C7055,Billing,Revenue,18115.71,2025-09-19,valid
T000224,C1641,CRM,Revenue,11929.14,2025-06-17,valid
T000225,C6972,Billing,Tickets,5.0,2025-10-08,valid
T000226,C5527,Billing,Orders,2.0,2025-09-18,valid
T000227,C4873,CRM,Tickets,1.0,2025-03-27,valid
T000228,C7304,CRM,Tickets,4.0,2025-12-11,valid
T000229,C1099,App,Orders,9.0,2025-02-07,valid
T000230,C3486,Billing,Tickets,3.0,2025-05-09,valid
T000231,C5477,App,Revenue,18982.21,2025-09-04,valid
T000232,C7598,CRM,Revenue,10280.13,2025-02-16,duplicate
T000233,C8967,CRM,Revenue,17418.64,2025-07-08,valid
T000234,C3156,Billing,Revenue,10543.74,2025-10-21,valid
T000235,C3701,Billing,Orders,10.0,2025-09-10,valid
T000236,C4944,CRM,Revenue,14511.87,2025-10-13,duplicate
T000237,C8030,CRM,Revenue,12460.67,2025-11-20,valid
T000238,C1986,CRM,Revenue,9485.6,2025-03-17,valid
T000239,C8275,App,Tickets,4.0,2026-01-24,valid
T000240,C5102,CRM,Revenue,15892.19,2025-06-01,valid
T000241,C5356,CRM,Tickets,1.0,2025-09-22,valid
T000242,C1016,App,Tickets,5.0,2025-12-17,valid
T000243,C4862,App,Revenue,4371.11,2025-03-02,valid
T000244,C4390,Billing,Orders,8.0,2025-03-21,valid
T000245,C8909,CRM,Orders,8.0,2025-07-08,valid
T000246,C5277,App,Tickets,2.0,2025-09-08,valid
T000247,C5064,CRM,Orders,9.0,2025-09-27,valid
T000248,C8121,Billing,Orders,7.0,2025-04-12,valid
T000249,C5556,CRM,Tickets,4.0,2025-10-17,valid
T000250,C9833,CRM,Orders,7.0,2025-07-04,valid
T000251,C6570,CRM,Tickets,1.0,2025-08-19,valid
T000252,C4566,Billing,Orders,8.0,2025-10-11,valid
T000253,C5766,CRM,Orders,7.0,2025-04-07,valid
T000254,C1606,App,Tickets,4.0,2026-01-11,valid
T000255,C7294,App,Revenue,10700.77,2025-11-17,valid
T000256,C9260,App,Tickets,2.0,2025-04-01,valid
T000257,C9083,CRM,Orders,7.0,2025-08-11,valid
T000258,C9382,App,Orders,6.0,2025-07-12,valid
T000259,C4051,CRM,Tickets,1.0,2025-02-07,valid
T000260,C3954,Billing,Tickets,2.0,2025-11-07,duplicate
T000261,C3316,CRM,Revenue,17808.56,2026-01-02,valid
T000262,C9683,Billing,Tickets,3.0,2025-09-08,valid
T000263,C7759,CRM,Orders,9.0,2025-07-10,valid
T000264,C3505,CRM,Tickets,5.0,2026-01-02,valid
T000265,C2612,Billing,Tickets,2.0,2025-03-12,valid
T000266,C7812,CRM,Orders,9.0,2025-02-27,valid
T000267,C6809,CRM,Orders,9.0,2025-10-17,valid
T000268,C1145,Billing,Tickets,3.0,2026-01-12,valid
T000269,C7108,CRM,Tickets,5.0,2025-12-06,valid
T000270,C3794,App,Orders,5.0,2025-05-12,valid
T000271,C5025,CRM,Orders,5.0,2026-02-04,valid
T000272,C7277,App,Revenue,14729.87,2025-10-24,valid
T000273,C1622,CRM,Orders,4.0,2025-08-20,valid
T000274,C3860,Billing,Revenue,17278.19,2026-01-09,duplicate
T000275,C4248,Billing,Orders,2.0,2025-11-20,valid
T000276,C9930,CRM,Tickets,2.0,2025-02-13,valid
T000277,C1526,App,Revenue,9616.1,2025-02-11,valid
T000278,C8371,App,Orders,3.0,2025-09-14,valid
T000279,C2425,CRM,Tickets,4.0,2025-06-04,valid
T000280,C1266,Billing,Tickets,3.0,2025-11-27,valid
T000281,C4718,App,Tickets,2.0,2025-11-06,valid
T000282,C4276,App,Orders,10.0,2026-02-02,valid
T000283,C6402,CRM,Revenue,10481.92,2025-08-23,valid
T000284,C7000,CRM,Orders,1.0,2025-09-24,valid
T000285,C4339,Billing,Tickets,5.0,2025-06-13,valid
T000286,C9797,Billing,Revenue,18644.38,2025-06-12,valid
T000287,C3539,Billing,Tickets,4.0,2025-11-14,valid
T000288,C9144,App,Tickets,2.0,2025-02-26,valid
T000289,C5642,Billing,Orders,,2025-05-10,missing
T000290,C6323,App,Tickets,4.0,2025-05-16,duplicate
T000291,C3625,Billing,Orders,7.0,2026-01-11,valid
T000292,C7023,App,Orders,6.0,2025-07-16,valid
T000293,C7717,Billing,Tickets,1.0,2025-03-05,valid
T000294,C7453,Billing,Revenue,7019.32,2025-03-01,valid
T000295,C1239,Billing,Revenue,11067.43,2026-01-15,valid
T000296,C4214,App,Revenue,,2025-09-15,missing
T000297,C6679,App,Orders,2.0,2025-12-16,valid
T000298,C6954,Billing,Revenue,4359.55,2025-11-09,valid
T000299,C3941,App,Orders,8.0,2025-08-19,valid
T000300,C6161,Billing,Tickets,3.0,2026-02-05,valid
T000301,C7718,CRM,Tickets,2.0,2026-01-15,valid
T000302,C6071,CRM,Orders,6.0,2025-08-29,valid
T000303,C5300,Billing,Tickets,3.0,2025-08-15,valid
T000304,C4949,Billing,Tickets,1.0,2025-09-30,valid
T000305,C5222,CRM,Tickets,3.0,2025-09-17,valid
T000306,C8067,CRM,Revenue,11569.96,2025-11-20,valid
T000307,C3114,CRM,Orders,7.0,2025-05-07,valid
T000308,C6926,App,Revenue,5208.33,2025-12-27,valid
T000309,C9289,Billing,Orders,10.0,2025-12-28,valid
T000310,C8699,App,Orders,8.0,2026-01-11,valid
T000311,C1064,CRM,Revenue,12764.77,2025-11-06,valid
T000312,C2973,CRM,Tickets,2.0,2025-08-22,duplicate
T000313,C3381,CRM,Revenue,,2026-01-01,missing
T000314,C8864,Billing,Orders,7.0,2025-06-22,valid
T000315,C3465,CRM,Tickets,,2025-06-22,missing
T000316,C4723,Billing,Revenue,6323.99,2025-07-10,duplicate
T000317,C4485,App,Orders,7.0,2025-10-20,valid
T000318,C3638,CRM,Revenue,7172.52,2025-06-21,duplicate
T000319,C9464,CRM,Revenue,,2025-07-06,missing
T000320,C1507,CRM,Revenue,15479.93,2026-01-24,valid
T000321,C2125,App,Orders,2.0,2025-02-18,valid
T000322,C6978,App,Tickets,2.0,2025-06-03,valid
T000323,C9006,CRM,Revenue,13729.53,2026-01-22,valid
T000324,C7426,Billing,Tickets,3.0,2025-10-02,valid
T000325,C7789,App,Orders,6.0,2025-09-02,valid
T000326,C6913,CRM,Revenue,13322.65,2026-01-25,valid
T000327,C1713,CRM,Revenue,4665.25,2025-09-04,valid
T000328,C9587,App,Tickets,2.0,2025-10-20,duplicate
T000329,C6085,Billing,Tickets,5.0,2025-11-06,valid
T000330,C3649,Billing,Orders,2.0,2025-07-07,valid
T000331,C2370,Billing,Tickets,2.0,2025-06-27,valid
T000332,C8995,App,Orders,7.0,2025-07-28,valid
T000333,C4202,CRM,Revenue,1019.0,2025-06-30,valid
T000334,C4165,Billing,Orders,3.0,2025-08-07,valid
T000335,C7261,CRM,Revenue,13011.64,2025-10-07,valid
T000336,C5581,CRM,Revenue,1589.83,2025-10-06,valid
T000337,C8023,App,Tickets,5.0,2025-07-25,valid
T000338,C4004,App,Orders,10.0,2025-08-18,valid
T000339,C3640,Billing,Tickets,5.0,2025-02-08,valid
T000340,C1892,CRM,Tickets,2.0,2026-01-05,valid
T000341,C8009,CRM,Tickets,2.0,2025-02-27,valid
T000342,C1811,App,Orders,2.0,2026-01-10,valid
T000343,C4198,App,Revenue,3597.23,2025-04-15,valid
T000344,C6014,Billing,Tickets,1.0,2025-03-13,valid
T000345,C7225,App,Tickets,1.0,2025-07-21,valid
T000346,C4402,CRM,Orders,5.0,2026-01-28,valid
T000347,C4313,CRM,Orders,1.0,2025-11-20,valid
T000348,C9724,CRM,Revenue,18253.09,2025-03-16,valid
T000349,C4810,Billing,Orders,9.0,2025-11-01,valid
T000350,C2843,CRM,Orders,8.0,2025-03-03,valid
T000351,C6962,Billing,Orders,10.0,2026-01-14,valid
T000352,C6273,Billing,Tickets,5.0,2026-01-03,valid
T000353,C1536,CRM,Orders,8.0,2025-07-11,valid
T000354,C8336,CRM,Tickets,,2025-10-17,missing
T000355,C4151,Billing,Orders,10.0,2025-12-16,valid
T000356,C1208,Billing,Tickets,,2025-10-12,missing
T000357,C9034,CRM,Tickets,4.0,2025-10-02,valid
T000358,C3746,Billing,Revenue,9110.31,2026-01-05,valid
T000359,C3741,CRM,Orders,6.0,2025-12-17,valid
T000360,C7218,App,Orders,10.0,2025-03-17,valid
T000361,C7185,CRM,Tickets,4.0,2025-11-05,valid
T000362,C5775,CRM,Orders,7.0,2025-03-06,valid
T000363,C7925,CRM,Orders,,2025-12-08,missing
T000364,C1858,CRM,Tickets,5.0,2026-01-28,valid
T000365,C9385,CRM,Revenue,5116.22,2026-01-17,valid
T000366,C2579,Billing,Tickets,1.0,2025-11-06,valid
T000367,C4981,Billing,Tickets,4.0,2025-07-08,valid
T000368,C7729,App,Orders,,2025-09-23,missing
T000369,C6424,App,Orders,7.0,2025-06-30,duplicate
T000370,C2102,App,Orders,6.0,2025-08-14,valid
T000371,C7238,Billing,Orders,9.0,2025-02-18,valid
T000372,C3356,CRM,Orders,,2026-01-23,missing
T000373,C7303,App,Tickets,1.0,2025-03-12,valid
T000374,C1876,App,Tickets,3.0,2025-05-21,valid
T000375,C6473,Billing,Orders,6.0,2025-03-04,valid
T000376,C4783,App,Revenue,10196.06,2025-02-28,valid
T000377,C8358,Billing,Tickets,3.0,2025-07-23,valid
T000378,C9380,App,Tickets,5.0,2025-12-14,valid
T000379,C4949,CRM,Tickets,5.0,2025-10-22,valid
T000380,C6449,App,Orders,4.0,2025-12-20,valid
T000381,C8852,Billing,Orders,,2026-02-01,missing
T000382,C2914,Billing,Revenue,6403.63,2025-03-30,duplicate
T000383,C1805,Billing,Orders,8.0,2025-07-03,valid
T000384,C2993,CRM,Orders,3.0,2025-11-24,valid
T000385,C6657,App,Orders,3.0,2025-10-19,valid
T000386,C9553,App,Revenue,13245.35,2025-04-21,valid
T000387,C5720,CRM,Orders,2.0,2025-10-06,valid
T000388,C8164,Billing,Tickets,2.0,2025-05-10,valid
T000389,C6475,Billing,Orders,5.0,2025-10-04,valid
T000390,C2326,App,Orders,7.0,2025-03-22,duplicate
T000391,C5109,Billing,Revenue,14855.24,2025-08-23,valid
T000392,C1046,Billing,Revenue,4488.9,2026-01-06,valid
T000393,C6293,App,Revenue,19238.01,2026-01-04,valid
T000394,C2357,Billing,Orders,8.0,2026-02-04,valid
T000395,C5723,App,Tickets,3.0,2025-10-01,valid
T000396,C4624,CRM,Orders,1.0,2025-10-03,valid
T000397,C3758,CRM,Orders,3.0,2025-10-24,valid
T000398,C8929,Billing,Tickets,3.0,2025-02-06,valid
T000399,C8622,Billing,Orders,6.0,2025-12-13,valid
T000400,C5915,App,Orders,4.0,2025-04-29,valid
T000401,C1446,App,Revenue,6938.97,2026-01-30,valid
T000402,C1342,CRM,Revenue,3738.6,2026-01-19,valid
T000403,C9845,App,Tickets,5.0,2025-09-27,valid
T000404,C2553,App,Revenue,17113.4,2025-04-05,valid
T000405,C2077,App,Orders,1.0,2025-09-23,valid
T000406,C4528,App,Orders,9.0,2025-03-29,duplicate
T000407,C2109,App,Orders,5.0,2025-11-09,valid
T000408,C3403,CRM,Tickets,3.0,2026-01-22,valid
T000409,C1952,CRM,Revenue,11622.72,2025-11-29,valid
T000410,C4128,Billing,Tickets,4.0,2025-09-01,valid
T000411,C4382,CRM,Orders,6.0,2025-12-02,valid
T000412,C9687,App,Tickets,3.0,2026-01-04,valid
T000413,C1582,Billing,Revenue,3676.57,2025-06-23,valid
T000414,C1727,CRM,Orders,10.0,2025-12-27,valid
T000415,C5010,Billing,Revenue,9852.46,2025-09-25,valid
T000416,C9503,CRM,Orders,9.0,2025-10-18,valid
T000417,C7361,CRM,Tickets,3.0,2025-08-16,valid
T000418,C9335,App,Tickets,2.0,2025-09-18,duplicate
T000419,C1695,Billing,Revenue,17067.63,2025-02-27,valid
T000420,C4617,App,Revenue,8760.95,2025-03-19,valid
T000421,C3578,App,Orders,8.0,2025-10-31,duplicate
T000422,C2409,CRM,Tickets,3.0,2025-02-21,valid
T000423,C7808,CRM,Orders,1.0,2025-10-14,valid
T000424,C3676,Billing,Revenue,6803.6,2025-04-11,valid
T000425,C5776,CRM,Orders,6.0,2025-03-12,duplicate
T000426,C2288,App,Revenue,18988.36,2025-06-05,valid
T000427,C9202,App,Tickets,2.0,2025-05-01,valid
T000428,C2683,App,Orders,1.0,2025-08-21,valid
T000429,C3106,App,Revenue,13374.37,2025-07-15,valid
T000430,C6292,Billing,Revenue,7992.07,2025-08-12,valid
T000431,C2121,App,Orders,2.0,2025-06-15,valid
T000432,C7714,CRM,Tickets,4.0,2025-11-26,valid
T000433,C6770,App,Tickets,1.0,2025-07-04,valid
T000434,C5184,Billing,Tickets,5.0,2026-01-24,valid
T000435,C3839,Billing,Tickets,3.0,2025-11-20,valid
T000436,C1962,Billing,Orders,,2026-01-12,missing
T000437,C2182,App,Orders,10.0,2025-04-03,valid
T000438,C6331,App,Revenue,5023.56,2025-08-07,valid
T000439,C5188,CRM,Revenue,14967.07,2025-05-15,valid
T000440,C4797,Billing,Revenue,3325.97,2025-10-09,duplicate
T000441,C9708,Billing,Revenue,6413.02,2025-06-26,valid
T000442,C9748,App,Orders,1.0,2025-04-09,valid
T000443,C3994,Billing,Tickets,5.0,2025-10-08,valid
T000444,C1538,App,Revenue,10021.06,2025-09-21,valid
T000445,C1320,CRM,Tickets,1.0,2025-09-16,valid
T000446,C3342,CRM,Tickets,4.0,2025-05-07,valid
T000447,C2815,Billing,Revenue,13736.89,2026-01-23,valid
T000448,C7600,App,Revenue,13638.42,2025-03-24,valid
T000449,C1335,Billing,Revenue,14216.97,2026-01-17,valid
T000450,C3623,CRM,Orders,,2025-04-23,missing
T000451,C3515,App,Revenue,1621.34,2025-10-15,valid
T000452,C3059,Billing,Revenue,19366.97,2025-09-20,valid
T000453,C5372,CRM,Tickets,3.0,2025-05-02,valid
T000454,C5590,App,Revenue,19602.76,2025-06-28,valid
T000455,C9421,Billing,Revenue,9788.09,2025-09-23,valid
T000456,C7564,CRM,Tickets,4.0,2025-08-25,valid
T000457,C5418,Billing,Revenue,4964.05,2025-11-03,valid
T000458,C6981,App,Tickets,3.0,2025-03-15,valid
T000459,C3816,App,Orders,8.0,2025-11-15,valid
T000460,C2114,Billing,Revenue,2490.68,2025-05-03,valid
